id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
0,Stand by Me,USA,52287414.0,Adventure,1986,Wil Wheaton,89,R,Certified Fresh,91,54,270103.0,10,49,5
1,Ferris Bueller's Day Off,USA,70136369.0,Comedy,1986,Matthew Broderick,103,PG-13,Certified Fresh,80,64,728391.0,13,51,13
2,Top Gun,USA,179800601.0,Action,1986,Tom Cruise,110,PG,Rotten,55,55,724355.0,13,30,25
3,Aliens,USA,85160248.0,Action,1986,Sigourney Weaver,137,R,Certified Fresh,99,72,429158.0,17,71,1
4,Flight of the Navigator,USA,18564613.0,Adventure,1986,Joey Cramer,90,PG,Fresh,83,29,59421.0,10,24,5
5,Platoon,UK,138530565.0,Drama,1986,Charlie Sheen,120,R,Certified Fresh,88,66,239684.0,18,58,8
6,Labyrinth,UK,12729917.0,Adventure,1986,David Bowie,101,PG,Fresh,70,44,373196.0,6,31,13
7,Blue Velvet,USA,8551228.0,Drama,1986,Isabella Rossellini,120,R,Certified Fresh,95,73,76873.0,21,69,4
8,Pretty in Pink,USA,40471663.0,Comedy,1986,Molly Ringwald,96,PG-13,Certified Fresh,79,47,213330.0,12,37,10
9,The Fly,USA,40456565.0,Drama,1986,Jeff Goldblum,96,NR,Fresh,95,39,11138.0,5,37,2
10,The Fly,USA,40456565.0,Drama,1986,Jeff Goldblum,96,R,Certified Fresh,92,60,89820.0,12,55,5
11,Crocodile Dundee,Australia,174635000.0,Adventure,1986,Paul Hogan,97,PG-13,Fresh,87,31,254335.0,5,27,4
12,Highlander,UK,5900000.0,Action,1986,Christopher Lambert,116,R,Fresh,69,35,135281.0,5,24,11
13,Big Trouble in Little China,USA,11100000.0,Action,1986,Kurt Russell,99,PG-13,Fresh,79,42,136307.0,2,33,9
14,Manhunter,USA,8620929.0,Crime,1986,William Petersen,120,R,Fresh,94,36,53240.0,7,34,2
15,Maximum Overdrive,USA,7433663.0,Action,1986,Emilio Estevez,98,R,Rotten,17,12,44773.0,0,2,10
16,Little Shop of Horrors,USA,38747385.0,Comedy,1986,Rick Moranis,94,PG-13,Certified Fresh,90,51,181532.0,10,46,5
17,The Wraith,USA,3500000.0,Action,1986,Charlie Sheen,93,PG-13,Rotten,33,12,9230.0,3,4,8
18,Howard the Duck,USA,16295774.0,Action,1986,Lea Thompson,110,PG,Rotten,15,48,55503.0,12,7,41
19,Critters,USA,13167232.0,Action,1986,Dee Wallace,82,PG-13,Rotten,58,19,53130.0,2,11,8
20,Back to School,USA,91258000.0,Comedy,1986,Rodney Dangerfield,96,PG-13,Fresh,85,34,33111.0,8,29,5
21,The Texas Chainsaw Massacre 2,USA,8025872.0,Comedy,1986,Dennis Hopper,89,R,Rotten,48,31,50688.0,3,15,16
22,Heartbreak Ridge,USA,42724017.0,Action,1986,Clint Eastwood,130,R,Fresh,79,19,21818.0,6,15,4
23,Short Circuit,USA,40697761.0,Comedy,1986,Ally Sheedy,98,PG,Rotten,58,36,168948.0,6,21,15
24,Iron Eagle,USA,24159872.0,Action,1986,Louis Gossett Jr.,117,PG-13,Rotten,20,5,21169.0,1,1,4
25,The Golden Child,USA,79817937.0,Action,1986,Eddie Murphy,94,PG-13,Rotten,26,19,62196.0,2,5,14
26,River's Edge,USA,4600000.0,Crime,1986,Crispin Glover,99,R,Fresh,86,37,9102.0,9,32,5
27,Cobra,USA,49042224.0,Action,1986,Sylvester Stallone,87,R,Rotten,14,21,44048.0,5,3,18
28,The Mission,UK,17218023.0,Adventure,1986,Robert De Niro,125,PG,Fresh,64,25,38852.0,7,16,9
29,The Color of Money,USA,52293982.0,Drama,1986,Paul Newman,119,R,Certified Fresh,89,47,46023.0,12,42,5
30,The Karate Kid Part II,USA,115103979.0,Action,1986,Pat Morita,113,PG,Rotten,42,24,121892.0,1,10,14
31,The Boy Who Could Fly,USA,7177431.0,Drama,1986,Lucy Deakins,114,PG,Fresh,67,18,9363.0,1,12,6
32,The Hitcher,USA,5844868.0,Thriller,1986,Rutger Hauer,97,R,Rotten,21,97,422231.0,22,20,77
33,The Hitcher,USA,16472961.0,Horror,2007,Sean Bean,84,R,Rotten,21,97,422231.0,22,20,77
