,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
703,Where the Heart Is,USA,33771174.0,Comedy,2000,Natalie Portman,120,6.8,PG-13,Rotten,35,97,Upright,76.0,32,34,63
3966,Couples Retreat,USA,109205660.0,Comedy,2009,Vince Vaughn,113,5.5,PG-13,Rotten,10,162,Spilled,39.0,43,17,145
873,Of Mice and Men,USA,5101632.0,Drama,1992,John Malkovich,115,7.5,PG-13,Fresh,97,29,Upright,82.0,7,28,1
1948,Belly,Jamaica,9630169.0,Crime,1998,Nas,96,6.0,R,Rotten,13,16,Upright,88.0,3,2,14
4084,Shutter Island,USA,128012934.0,Mystery,2010,Leonardo DiCaprio,138,8.1,R,Fresh,68,253,Upright,76.0,52,173,80
3939,The Twilight Saga: New Moon,USA,296623634.0,Adventure,2009,Kristen Stewart,130,4.6,PG-13,Rotten,28,226,Upright,61.0,54,63,163
3003,Starsky & Hutch,USA,88237754.0,Comedy,2004,Ben Stiller,101,6.1,PG-13,Fresh,62,193,Spilled,49.0,47,120,73
3306,The Prestige,USA,53089891.0,Drama,2006,Christian Bale,130,8.5,PG-13,Certified Fresh,76,197,Upright,92.0,48,149,48
1257,Greedy,USA,13145977.0,Comedy,1994,Michael J. Fox,113,6.2,PG-13,Rotten,28,18,Spilled,48.0,3,5,13
3236,Unleashed,France,24520892.0,Action,2005,Jet Li,103,7.0,NR,Fresh,75,8,Upright,72.0,3,6,2
3140,The Island,USA,35818913.0,Action,2005,Scarlett Johansson,136,6.9,R,Rotten,40,5,Spilled,51.0,0,2,3
292,A Fish Called Wanda,UK,63493712.0,Comedy,1988,John Cleese,108,7.6,R,Certified Fresh,94,62,Upright,84.0,13,58,4
4862,Gone Girl,USA,167767189.0,Crime,2014,Ben Affleck,149,8.1,R,Certified Fresh,87,348,Upright,87.0,63,303,45
2864,National Security,USA,35764982.0,Action,2003,Martin Lawrence,88,5.6,PG-13,Rotten,11,89,Spilled,45.0,29,10,79
351,Without a Clue,UK,8539181.0,Comedy,1988,Michael Caine,107,7.0,PG,Fresh,60,10,Upright,72.0,1,6,4
1086,Beethoven's 2nd,USA,53354166.0,Comedy,1993,Charles Grodin,89,4.8,PG,Rotten,23,13,Spilled,30.0,2,3,10
4933,That Awkward Moment,USA,26049082.0,Comedy,2014,Zac Efron,94,6.2,R,Rotten,22,138,Spilled,46.0,37,30,108
820,Poison,USA,609524.0,Drama,1991,Edith Meeks,85,6.5,NC17,Fresh,76,21,Upright,68.0,8,16,5
3703,RocknRolla,UK,5694401.0,Action,2008,Gerard Butler,114,7.3,R,Fresh,60,147,Upright,71.0,45,88,59
4965,Selma,UK,52076908.0,Biography,2014,David Oyelowo,128,7.5,PG-13,Certified Fresh,99,301,Upright,86.0,58,297,4
4435,Rampart,USA,969239.0,Crime,2011,Woody Harrelson,108,5.8,R,Certified Fresh,74,145,Spilled,35.0,40,108,37
1521,Stealing Beauty,Italy,4573330.0,Drama,1996,Jeremy Irons,118,6.6,R,Rotten,51,51,Upright,75.0,13,26,25
118,Playing for Keeps,USA,2669366.0,Comedy,1986,Daniel Jordano,102,4.1,PG-13,Rotten,4,90,Spilled,41.0,33,4,86
2068,The Thomas Crown Affair,USA,69304264.0,Crime,1999,Pierce Brosnan,113,6.8,R,Fresh,70,102,Upright,77.0,29,71,31
3027,Mean Creek,USA,603951.0,Crime,2004,Rory Culkin,90,7.3,R,Certified Fresh,89,124,Upright,82.0,37,110,14
5264,Captain Fantastic,USA,5875006.0,Comedy,2016,Viggo Mortensen,118,7.9,R,Certified Fresh,82,218,Upright,85.0,45,179,39
4110,The A-Team,USA,77222099.0,Action,2010,Liam Neeson,117,6.8,PG-13,Rotten,49,212,Upright,66.0,43,103,109
722,The Commitments,Ireland,14919570.0,Comedy,1991,Robert Arkins,118,7.6,R,Certified Fresh,88,43,Upright,90.0,11,38,5
3746,"Definitely, Maybe",UK,31973840.0,Comedy,2008,Ryan Reynolds,112,7.2,PG-13,Certified Fresh,70,147,Upright,72.0,40,103,44
4392,The Human Centipede II (Full Sequence),USA,122890.0,Horror,2011,Ashlynn Yennie,91,3.9,R,Rotten,29,82,Spilled,22.0,25,24,58
2030,The Green Mile,USA,136801374.0,Crime,1999,Tom Hanks,189,8.5,R,Certified Fresh,79,133,Upright,94.0,34,105,28
3748,The Bank Job,UK,30028592.0,Crime,2008,Jason Statham,111,7.3,R,Certified Fresh,79,146,Upright,74.0,39,116,30
3960,Bright Star,UK,4444637.0,Biography,2009,Abbie Cornish,119,7.0,PG,Certified Fresh,83,174,Upright,68.0,50,144,30
2172,Outside Providence,USA,7292175.0,Comedy,1999,Shawn Hatosy,96,6.4,R,Rotten,51,75,Upright,65.0,25,38,37
2191,The Out-of-Towners,USA,28535768.0,Comedy,1999,Steve Martin,90,5.3,PG-13,Fresh,60,15,Upright,68.0,2,9,6
2198,Grey Owl,UK,632617.0,Biography,1999,Pierce Brosnan,100,6.0,PG-13,Rotten,17,12,Spilled,56.0,2,2,10
3461,Fur: An Imaginary Portrait of Diane Arbus,USA,220914.0,Biography,2006,Nicole Kidman,122,6.5,R,Rotten,32,110,Upright,63.0,44,35,75
2738,Pinocchio,Italy,3684305.0,Comedy,2002,Roberto Benigni,108,4.2,G,Certified Fresh,100,51,Upright,73.0,9,51,0
938,Love Potion No. 9,USA,754935.0,Comedy,1992,Tate Donovan,92,5.6,PG-13,Rotten,27,11,Spilled,43.0,0,3,8
1172,Natural Born Killers,USA,50282766.0,Crime,1994,Woody Harrelson,118,7.3,R,Rotten,47,38,Upright,81.0,9,18,20
1494,Mission: Impossible,USA,180981856.0,Action,1996,Tom Cruise,110,7.1,PG-13,Fresh,63,57,Upright,71.0,21,36,21
2709,Laurel Canyon,USA,3663356.0,Drama,2002,Frances McDormand,103,6.4,R,Fresh,68,110,Spilled,52.0,33,75,35
678,Mountains of the Moon,USA,4011793.0,Adventure,1990,Patrick Bergin,136,7.3,R,Fresh,69,13,Upright,76.0,3,9,4
3702,The Curious Case of Benjamin Button,USA,127509326.0,Drama,2008,Brad Pitt,166,7.8,PG-13,Certified Fresh,71,247,Upright,80.0,51,176,71
3805,Sunshine Cleaning,USA,12062558.0,Comedy,2008,Amy Adams,91,6.9,R,Certified Fresh,74,174,Upright,63.0,47,129,45
2872,Party Monster,USA,728253.0,Biography,2003,Macaulay Culkin,98,6.3,R,Rotten,29,79,Upright,75.0,32,23,56
360,The Accidental Tourist,USA,32632093.0,Drama,1988,William Hurt,121,6.8,PG,Fresh,81,32,Upright,60.0,2,26,6
2637,Maid in Manhattan,USA,94011225.0,Comedy,2002,Jennifer Lopez,105,5.1,PG-13,Rotten,39,150,Spilled,43.0,40,58,92
5246,Silence,USA,7079191.0,Adventure,2016,Andrew Garfield,161,7.2,R,Certified Fresh,83,270,Upright,69.0,47,225,45
1786,Affliction,USA,6302154.0,Drama,1997,Nick Nolte,114,7.0,R,Certified Fresh,88,50,Upright,72.0,10,44,6
