id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
2650,40 Days and 40 Nights,USA,37950822.0,Comedy,2002,Josh Hartnett,96,R,Rotten,38,136,460837.0,36,52,84
610,Hamlet,USA,1568749.0,Drama,2000,Ethan Hawke,112,NR,Fresh,91,34,7527.0,6,31,3
3678,Timber Falls,USA,50000.0,Horror,2007,Josh Randall,100,R,Rotten,38,8,2344.0,1,3,5
5321,Everybody Wants Some!!,USA,3369431.0,Comedy,2016,Blake Jenner,117,R,Certified Fresh,87,229,15553.0,49,199,30
7,Blue Velvet,USA,8551228.0,Drama,1986,Isabella Rossellini,120,R,Certified Fresh,95,73,76873.0,21,69,4
3413,Wristcutters: A Love Story,USA,316996.0,Comedy,2006,Patrick Fugit,88,R,Fresh,67,92,32453.0,31,62,30
4473,Flypaper,Germany,1098.0,Comedy,2011,Patrick Dempsey,87,NR,Rotten,17,18,3466.0,11,3,15
133,Saving Grace,UK,12115757.0,Comedy,2000,Brenda Blethyn,93,R,Fresh,63,89,11521.0,25,56,33
2890,A Mighty Wind,USA,17508936.0,Comedy,2003,Christopher Guest,91,PG-13,Certified Fresh,87,175,42547.0,42,153,22
3605,Balls of Fury,USA,32844290.0,Comedy,2007,Dan Fogler,90,PG-13,Rotten,22,130,323994.0,33,28,102
4548,On the Road,France,717753.0,Adventure,2012,Sam Riley,124,R,Rotten,44,151,10914.0,42,67,84
1937,Species II,USA,19165560.0,Action,1998,Natasha Henstridge,93,R,Rotten,9,33,39253.0,2,3,30
3142,Green Street Hooligans,USA,344095.0,Crime,2005,Elijah Wood,109,R,Rotten,47,64,219848.0,22,30,34
2791,Open Range,USA,58331254.0,Drama,2003,Kevin Costner,139,R,Certified Fresh,79,183,51658.0,42,145,38
4835,The East,UK,2268296.0,Adventure,2013,Brit Marling,116,PG-13,Certified Fresh,75,146,19983.0,43,110,36
2597,The Hours,USA,41675994.0,Drama,2002,Meryl Streep,110,PG-13,Certified Fresh,80,193,85880.0,42,154,39
3271,Junebug,USA,2678691.0,Comedy,2005,Embeth Davidtz,106,R,Certified Fresh,87,135,46856.0,35,117,18
573,Lord of the Flies,USA,13985225.0,Adventure,1990,Balthazar Getty,90,R,Fresh,63,19,54292.0,1,12,7
2273,The Flintstones in Viva Rock Vegas,USA,35268275.0,Comedy,2000,Mark Addy,90,PG,Rotten,25,72,44078.0,24,18,54
2184,Wing Commander,USA,11576087.0,Action,1999,Freddie Prinze Jr.,100,PG-13,Rotten,10,50,19871.0,12,5,45
3138,The Devil's Rejects,USA,17044981.0,Crime,2005,Sid Haig,107,R,Rotten,54,136,112285.0,33,73,63
456,Casualties of War,USA,18671317.0,Crime,1989,Michael J. Fox,113,R,Certified Fresh,84,44,21775.0,8,37,7
4779,The Zero Theorem,UK,219438.0,Comedy,2013,Christoph Waltz,107,R,Rotten,50,126,9648.0,30,63,63
189,Creepshow 2,USA,14000000.0,Comedy,1987,George Kennedy,92,R,Rotten,33,21,19366.0,5,7,14
3447,The Sentinel,USA,36280697.0,Action,2006,Michael Douglas,108,R,Rotten,45,20,2879.0,3,9,11
2139,Gloria,USA,4155234.0,Crime,1999,Sharon Stone,108,R,Fresh,100,13,370.0,0,13,0
297,The Naked Gun: From the Files of Police Squad!,USA,78041829.0,Comedy,1988,Leslie Nielsen,85,PG-13,Certified Fresh,87,54,176704.0,11,47,7
3361,Black Snake Moan,USA,9396870.0,Drama,2006,Christina Ricci,116,R,Fresh,66,162,413531.0,47,107,55
1464,The Amazing Panda Adventure,USA,7506759.0,Family,1995,Stephen Lang,100,PG,Rotten,20,10,8897.0,3,2,8
4924,The Guest,USA,322600.0,Mystery,2014,Dan Stevens,100,R,Certified Fresh,91,114,22900.0,32,104,10
4652,If I Were You,Canada,9222.0,Comedy,2012,Marcia Gay Harden,115,R,Rotten,13,15,845.0,9,2,13
1664,Hercules,USA,99046791.0,Animation,1997,Tate Donovan,93,G,Certified Fresh,84,55,388724.0,15,46,9
354,Action Jackson,USA,20257000.0,Action,1988,Carl Weathers,96,R,Rotten,15,13,11062.0,2,2,11
1325,Ghost in the Shell,Japan,515905.0,Animation,1995,Atsuko Tanaka,83,PG-13,Rotten,43,283,39925.0,44,123,160
3481,Priceless,France,1499127.0,Comedy,2006,Audrey Tautou,106,PG-13,Certified Fresh,81,75,24094.0,21,61,14
1818,Masterminds,USA,17356894.0,Action,2016,Zach Galifianakis,95,PG-13,Rotten,19,16,4692.0,3,3,13
839,Paradise,USA,18634643.0,Drama,1991,Melanie Griffith,111,PG-13,Rotten,36,11,3747.0,2,4,7
3321,Half Nelson,USA,2694973.0,Drama,2006,Ryan Gosling,106,R,Certified Fresh,90,157,56525.0,43,142,15
4483,The Hunger Games,USA,408010692.0,Adventure,2012,Jennifer Lawrence,142,PG-13,Certified Fresh,84,301,902294.0,54,253,48
1105,Made in America,USA,44942695.0,Comedy,1993,Whoopi Goldberg,111,NR,Rotten,58,19,280.0,4,11,8
342,The Lair of the White Worm,UK,1189315.0,Comedy,1988,Amanda Donohoe,93,R,Fresh,65,26,6237.0,1,17,9
1595,Mother,USA,19119165.0,Comedy,1996,Albert Brooks,104,PG-13,Certified Fresh,90,39,6000.0,11,35,4
1101,Untamed Heart,USA,18899204.0,Comedy,1993,Christian Slater,102,PG-13,Rotten,54,26,20428.0,4,14,12
3001,A Very Long Engagement,France,6167817.0,Drama,2004,Audrey Tautou,133,R,Certified Fresh,78,148,65371.0,37,116,32
655,Bad Influence,USA,12626043.0,Drama,1990,Rob Lowe,99,R,Fresh,71,17,4203.0,3,12,5
3918,The Girl with the Dragon Tattoo,USA,102515793.0,Crime,2011,Daniel Craig,158,R,Certified Fresh,85,187,50956.0,45,159,28
4224,I'm Still Here,USA,408719.0,Comedy,2010,Joaquin Phoenix,108,R,Rotten,53,129,20682.0,34,69,60
4540,Bachelorette,USA,447954.0,Comedy,2012,Kirsten Dunst,87,R,Rotten,56,101,17946.0,33,57,44
329,Poltergeist III,USA,14114488.0,Horror,1988,Heather O'Rourke,98,PG-13,Rotten,18,17,17713.0,0,3,14
244,Nuts,USA,30950002.0,Drama,1987,Barbra Streisand,116,R,Rotten,35,23,4194.0,6,8,15
2234,Mission to Mars,USA,60883407.0,Adventure,2000,Tim Robbins,114,PG,Rotten,25,110,53535.0,28,27,83
746,Career Opportunities,USA,11336986.0,Comedy,1991,Frank Whaley,83,PG-13,Rotten,38,16,7100.0,5,6,10
981,The Efficiency Expert,Australia,101307.0,Comedy,1992,Anthony Hopkins,100,PG,Fresh,67,6,994.0,1,4,2
2644,Confessions of a Dangerous Mind,USA,16003576.0,Biography,2002,Sam Rockwell,113,R,Certified Fresh,79,164,58801.0,37,129,35
3290,The White Countess,UK,1666262.0,Drama,2005,Ralph Fiennes,135,PG-13,Rotten,49,89,20229.0,30,44,45
4325,Hanna,USA,40259119.0,Action,2011,Saoirse Ronan,111,PG-13,Fresh,72,225,72396.0,50,161,64
4887,The Hobbit: The Battle of the Five Armies,New Zealand,255119788.0,Adventure,2014,Ian McKellen,144,PG-13,Rotten,59,254,214805.0,50,150,104
642,The Two Jakes,USA,10005969.0,Crime,1990,Jack Nicholson,137,R,Fresh,68,19,6190.0,3,13,6
965,Tokyo Decadence,Japan,277813.0,Drama,1992,Miho Nikaido,135,NC17,Fresh,60,5,1060.0,0,0,0
4151,Valentine's Day,USA,110485654.0,Comedy,2010,Julia Roberts,125,PG-13,Rotten,18,188,287229.0,44,33,155
3258,Bad News Bears,USA,32868349.0,Comedy,2005,Billy Bob Thornton,113,PG-13,Rotten,48,161,76676.0,46,78,83
3754,Death Race,USA,36316032.0,Action,2008,Jason Statham,105,R,Rotten,42,158,207634.0,33,66,92
775,Under Suspicion,UK,221295.0,Crime,1991,Liam Neeson,99,R,Rotten,25,8,1250.0,1,2,6
1827,The End of Violence,France,283033.0,Drama,1997,Traci Lind,122,R,Rotten,29,34,2404.0,10,10,24
2930,Mean Girls,USA,86058055.0,Comedy,2004,Lindsay Lohan,97,PG-13,Certified Fresh,84,185,32167706.0,45,155,30
2396,The Lord of the Rings: The Fellowship of the Ring,New Zealand,315544750.0,Adventure,2001,Elijah Wood,178,PG-13,Certified Fresh,91,229,1355751.0,49,209,20
4944,Deliver Us from Evil,USA,30577122.0,Horror,2014,Eric Bana,118,R,Rotten,28,131,26645.0,32,37,94
871,Patriot Games,USA,83287363.0,Action,1992,Harrison Ford,117,R,Fresh,72,39,70637.0,8,28,11
3724,Punisher: War Zone,USA,7948159.0,Action,2008,Ray Stevenson,103,R,Rotten,29,108,132270.0,28,31,77
3716,Forgetting Sarah Marshall,USA,63172463.0,Comedy,2008,Kristen Bell,111,R,Certified Fresh,83,184,641342.0,44,153,31
4615,The Samaritan,Canada,1744.0,Crime,2012,Samuel L. Jackson,90,R,Rotten,26,35,5351.0,18,9,26
1677,Face/Off,USA,112225777.0,Action,1997,John Travolta,138,R,Certified Fresh,92,86,450172.0,28,79,7
5147,Irrational Man,USA,4027764.0,Comedy,2015,Joaquin Phoenix,95,R,Rotten,46,198,6555.0,44,92,106
815,Pure Luck,USA,22641969.0,Comedy,1991,Martin Short,96,PG,Rotten,9,11,6520.0,3,1,10
492,The Phantom of the Opera,USA,3953745.0,Drama,1989,Robert Englund,93,R,Rotten,38,13,49302.0,0,5,8
3810,Prom Night,USA,43869350.0,Horror,2008,Brittany Snow,88,PG-13,Rotten,7,67,269847.0,15,5,62
4890,The Interview,USA,6105175.0,Comedy,2014,James Franco,112,R,Rotten,51,148,64190.0,34,76,72
3568,Death at a Funeral,USA,42739347.0,Comedy,2010,Chris Rock,92,R,Rotten,42,137,102951.0,30,58,79
1617,Unforgettable,USA,2780278.0,Drama,1996,Ray Liotta,117,R,Rotten,21,28,1558.0,5,6,22
4917,Neighbors,USA,150157400.0,Comedy,2014,Seth Rogen,97,R,Fresh,63,8,5909.0,1,5,3
3394,The Wicker Man,USA,23643531.0,Horror,2006,Nicolas Cage,102,PG-13,Rotten,15,107,88555.0,18,16,91
2345,Together,Sweden,1069156.0,Comedy,2000,Lisa Lindgren,106,R,Certified Fresh,90,80,7749.0,29,72,8
1018,Indecent Proposal,USA,106614100.0,Drama,1993,Robert Redford,117,R,Rotten,34,44,46358.0,5,15,29
967,Love Field,USA,1949148.0,Drama,1992,Michelle Pfeiffer,105,PG-13,Rotten,40,10,1982.0,3,4,6
3420,Date Movie,USA,48548426.0,Comedy,2006,Alyson Hannigan,83,PG-13,Rotten,7,87,513821.0,19,6,81
2361,The Million Dollar Hotel,Germany,52526.0,Drama,2000,Jeremy Davies,122,R,Rotten,25,44,11380.0,15,11,33
